unidade,modelo_vencedor,mae,rmse,mape,r2
ACAILANDIA,GradientBoosting,8.551010328072907,10.611400523484003,6.1215399156454895,0.7957393294676428
ALTO PARNAIBA,LightGBM,3.176786004589514,4.4108162400565964,18.418504584474498,0.25754696629766083
AMARANTE DO MARANHAO,LightGBM,2.630810252858239,2.9525167419723672,40.82479249542082,0.015782487396937883
ANJO DA GUARDA,RandomForest,6.774013817802556,8.599889327800014,3.9516442155935203,0.8684497340616372
ARAIOSES,ExtraTrees,2.8936543716921923,4.202374814255667,9.837337006352831,0.7688734642374392
ARAME,ExtraTrees,1.2947199043299384,1.7413632052430303,12.115783338093324,0.9747904742422566
BACABAL,RandomForest,4.6630763451534545,5.349920021797357,3.5830853606706734,0.8753146721424446
BALSAS,RandomForest,14.849919698949165,17.354794091724195,11.459299000161252,0.6910818641867731
BARRA DO CORDA,ExtraTrees,4.812446622832839,5.335272343530542,5.40837482898658,0.7878966821772427
BARREIRINHAS,ExtraTrees,3.514654211654894,4.389803428029311,3.083056776517204,0.9471305524803943
BOM JARDIM,ExtraTrees,4.759270187447664,5.677604710826049,14.883542437695798,0.78585621375172
BREJO,RandomForest,1.8908979221372186,2.1496700517802534,14.131560263578683,0.7204531046363889
BURITI,RandomForest,2.21139245371685,2.517392476401786,19.564272780003297,0.8362204751413652
BURITI BRAVO,LightGBM,2.973231458369959,3.2000506600942935,17.076378487251578,0.1407947138162221
BURITICUPU,GradientBoosting,4.7838544142696495,5.542475870657712,8.931690210557807,0.7282973104577031
CAROLINA,ExtraTrees,0.8848901528990213,1.6168290930677185,5.659332481155143,0.9750986237376907
CAXIAS,LightGBM,7.224013830829709,8.748564426058408,4.780397300171306,0.5851403101407258
CHAPADINHA,LightGBM,5.560526033715389,7.1608290741982294,4.866916999136254,0.44263616271866657
CIDADE OPERARIA,RandomForest,11.517043455197694,12.1963606309988,6.583788755351323,0.7431166060679673
CODO,GradientBoosting,8.351967833282634,10.34184573079403,6.701654098729164,0.828363059384028
COELHO NETO,ExtraTrees,3.6422654731781514,5.041177725317861,7.107811606034571,0.7952548224179863
COHAFUMA,ExtraTrees,0.10056570810142164,0.1372872897136034,0.04282333315378703,0.9999796010470484
COLINAS,GradientBoosting,6.761782729645453,7.97390833369859,18.134507413422515,0.8082249481966537
COROATA,GradientBoosting,5.264303611429791,8.3237387663985,5.497773317614204,0.4893281098810145
CURURUPU,GradientBoosting,4.170922005680589,4.529231601016484,8.70647255088074,0.8449231999113417
DOM PEDRO,LightGBM,5.227357555523121,6.547331384859129,12.301824367225123,0.6771426583315545
ESTREITO,GradientBoosting,14.089422056874097,16.578200685856597,450.66093709374286,0.6410522906059419
GOVERNADOR NUNES FREIRE,RandomForest,3.345944219986077,4.22062676772317,9.350070366114355,0.5839509888900641
GRAJAU,LightGBM,4.293197538737901,6.028665494489311,11.051808430600433,0.8239177798519026
IMPERATRIZ,LightGBM,21.514970498055067,25.052544220306096,8.874349837067012,0.6600430157453879
ITAPECURU-MIRIM,ExtraTrees,5.2412279857169555,5.849319219782994,7.282137297980638,0.8753522504526978
ITINGA DO MARANHAO,ExtraTrees,1.0390344534694067,1.161810192589355,11.718879777385679,0.9611852445677106
JOAO LISBOA,RandomForest,2.7205372716933054,3.483130789177738,15.404589877077758,0.16505926315817598
LAGO DA PEDRA,GradientBoosting,4.680822851674976,5.797113805515057,9.049813618699497,0.612718745242105
MAIOBAO,RandomForest,5.345566644179028,7.290829358868012,4.250997326123486,0.8348349115874156
MATOES,LightGBM,2.8671098439087177,3.1507879158858656,6.98021241588412,0.877407822567105
PARNARAMA,GradientBoosting,4.333129000022682,5.171837287901036,17.574759747409942,0.7663730578086179
PASSAGEM FRANCA,LightGBM,2.6728252903047798,3.775571825671308,16.145796059131186,0.5573560279281713
PEDREIRAS,GradientBoosting,6.225203001633045,7.137102098352959,7.526027209677013,0.771848894720896
PINHEIRO,RandomForest,7.148876611921769,10.05565637524406,6.437713695683884,0.8832541227211984
PORTO FRANCO,LightGBM,5.719292488203818,7.2594454667433705,13.853623552144592,0.6940429057172485
PRESIDENTE DUTRA,ExtraTrees,1.8969491591950083,2.116037669138895,3.06991714825784,0.9524895722296398
PROCON BALSAS,RandomForest,1.0006367256559137,1.260572852350246,26.83894675625302,0.6492650815854085
RAPOSA,RandomForest,3.277784526602668,3.9334559286116595,11.20642891938068,0.7999652502442796
RIACHAO,GradientBoosting,3.9280528839950075,4.536468356855072,12.260770242434466,0.009432502470903104
RIO ANIL SHOPPING,RandomForest,13.104874154061488,14.843808407637177,6.354955716632069,0.8532712653354168
ROSARIO,ExtraTrees,8.002157892269013,9.23139934167591,13.155192219216975,0.1714845324465819
SANTA HELENA,RandomForest,2.4114710303278306,2.913438784267223,11.770850567618677,0.7460817143260371
SANTA INES,RandomForest,11.312216186553215,11.832557239062783,9.567934176953674,0.5074338648787221
SANTA LUZIA,GradientBoosting,3.168534474086755,3.6477084774395157,6.972623242627036,0.56242746330012
SANTA RITA,RandomForest,3.5295237745584354,4.429796273697882,8.566097936377355,0.5354919534797515
SAO BERNARDO,RandomForest,2.2251492019194923,2.3901679671951865,11.938115832673416,0.533446262235179
SAO DOMINGOS DO MARANHAO,GradientBoosting,4.659901289225354,5.173084756436197,12.653108939098894,0.28423608680875834
SAO FRANCISCO DO MARANHAO,ExtraTrees,1.0497962400247371,1.2794282381659698,7.93014511401255,0.6938553655946282
SAO JOAO DOS PATOS,RandomForest,4.999000406893068,6.209309540084243,9.197310165134187,0.6866963974685774
SAO JOSE DE RIBAMAR,RandomForest,15.937023191812557,20.683896574329697,18.424392225650347,0.719613791063039
SAO MATEUS DO MARANHAO,ExtraTrees,2.7183325882109424,3.1081127979888286,6.1696989439879095,0.8614291882066525
SAO PEDRO DA AGUA BRANCA,GradientBoosting,1.1557756029938644,1.4810095111936612,40.374434580155054,0.5407005579484689
TIMON,GradientBoosting,9.078920651326566,12.02166992372392,5.778100564056099,0.6752198293894035
TUNTUM,RandomForest,2.650622603440628,3.720367568882389,5.774270684796417,0.7609649071527576
TUTOIA,LightGBM,3.388936329942245,5.351262042153817,5.201492969104875,0.6361088519849544
URBANO SANTOS,GradientBoosting,2.9999273584057287,3.8309964781176897,8.426291833642177,0.7234037820184012
VARGEM GRANDE,RandomForest,2.291245849317554,2.8101875220956387,12.081305880478324,0.3838207936978356
VIANA,GradientBoosting,4.23184759842781,5.021488652617813,9.185909004065921,0.6848081463953818
VITORIA DO MEARIM,LightGBM,3.268081090074133,3.731149501522111,18.278396875281196,0.7072307495567698
VITORINO FREIRE,ExtraTrees,4.887383155655042,6.216783042866566,9.541666158645336,0.6117730260964349
VIVA IMPERATRIZ,GradientBoosting,2.182527206877703,2.7515799207577505,16.67279760497505,0.470016555777794
ZE DOCA,LightGBM,3.7351985534702843,4.387764980810895,8.648438017947624,0.1248872033258892
